datetime,epoch,pod,latency,requests,action,next_action,new_latency,new_requests,reward,q_value,random
2021-11-07 17:33:05.795916,0,1,308,12,1,1,290,10,10,5.0,False
2021-11-07 17:33:52.970274,1,1,290,10,1,1,251,8,10,7.5,False
2021-11-07 17:34:39.960829,2,1,251,8,1,1,311,8,10,5.0,False
2021-11-07 17:35:26.972959,3,1,311,8,1,1,308,8,10,8.75,False
2021-11-07 17:36:14.878749,4,1,308,8,1,1,310,8,10,11.5625,False
2021-11-07 17:37:01.781146,5,1,310,8,1,1,277,6,10,13.671875,False
2021-11-07 17:37:48.679637,6,1,277,6,1,1,258,8,10,15.25390625,False
2021-11-07 17:38:35.539815,7,1,258,8,1,1,207,6,10,16.4404296875,False
2021-11-07 17:39:22.494288,8,1,207,6,1,1,206,6,10,17.330322265625,False
2021-11-07 17:40:09.482556,9,1,206,6,1,1,290,10,10,15.5401611328125,False
2021-11-07 17:40:56.585991,10,1,290,10,1,1,289,10,10,10.625,False
2021-11-07 17:41:43.558231,11,1,289,10,1,1,275,6,10,14.197540283203125,False
2021-11-07 17:42:30.440979,12,1,275,6,1,1,289,10,10,16.31946563720703,False
2021-11-07 17:43:17.291927,13,1,289,10,1,1,289,10,10,15.648155212402344,False
2021-11-07 17:44:06.138830,14,1,289,10,1,1,258,8,10,16.90394401550293,False
2021-11-07 17:44:53.173195,15,1,258,8,1,1,206,6,10,17.239599227905273,False
2021-11-07 17:45:40.151697,16,1,206,6,1,1,262,8,10,17.929699420928955,False
2021-11-07 17:46:28.004699,17,1,262,8,1,1,287,8,10,18.447274565696716,False
2021-11-07 17:47:14.833255,18,1,287,8,1,1,310,8,10,18.835455924272537,False
2021-11-07 17:48:01.665341,19,1,310,8,1,1,309,8,10,19.126591943204403,False
2021-11-07 17:48:48.693699,20,1,309,8,1,1,309,8,10,19.344943957403302,False
2021-11-07 17:49:35.747809,21,1,309,8,1,1,258,8,10,19.508707968052477,False
2021-11-07 17:50:22.649891,22,1,258,8,1,1,258,8,10,19.631530976039357,False
2021-11-07 17:51:09.807765,23,1,258,8,1,1,261,8,10,19.723648232029518,False
2021-11-07 17:51:56.816730,24,1,261,8,1,1,207,6,10,19.79273617402214,False
2021-11-07 17:52:43.797311,25,1,207,6,1,1,313,8,10,19.844552130516604,False
2021-11-07 17:53:30.714350,26,1,313,8,1,1,275,6,10,19.883414097887453,False
2021-11-07 17:54:17.738826,27,1,275,6,1,1,206,6,10,19.91256057341559,False
2021-11-07 17:55:04.824751,28,1,206,6,1,1,289,10,10,19.182266290583527,False
2021-11-07 17:55:51.730701,29,1,289,10,1,1,258,8,10,18.247538580397347,False
2021-11-07 17:56:39.637095,30,1,258,8,1,1,300,10,10,19.1530177903911,False
2021-11-07 17:57:26.678275,31,1,300,10,1,1,206,4,10,18.91202373779645,False
2021-11-07 17:58:13.661327,32,1,206,4,1,3,207,6,10,14.57650889519555,True
2021-11-07 17:59:00.757866,33,1,207,6,3,1,206,2,-20,-10.0,False
2021-11-07 17:59:47.778564,34,3,206,2,1,1,311,8,20,13.644127223798888,False
2021-11-07 18:00:35.088492,35,1,311,8,1,1,259,8,10,15.932381671396662,True
