pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,18,0.0,0.0,0.0
2,0,500,0,18,-1.4000000000000001,-1.04,-1.7600000000000002
3,0,500,0,18,-1.4600000000000002,7.460000000000001,-1.1
1,501,1000,0,18,0.0,0.0,0.0
2,501,1000,0,18,-1.88,0.019999999999999907,0.0
3,501,1000,0,18,0.0,0.0,0.0
1,1001,1500,0,18,0.0,0.0,0.0
2,1001,1500,0,18,0.0,0.0,0.0
3,1001,1500,0,18,0.0,0.0,0.0
1,1501,2000,0,18,0.0,0.0,0.0
2,1501,2000,0,18,0.0,0.0,0.0
3,1501,2000,0,18,0.0,0.0,0.0
1,0,500,19,36,0.0,0.0,0.0
2,0,500,19,36,-1.2800000000000002,0.0,0.0
3,0,500,19,36,0.0,0.0,0.0
1,501,1000,19,36,-1.0,2.8,13.16
2,501,1000,19,36,-1.7600000000000002,-0.19999999999999996,0.0
3,501,1000,19,36,-1.64,0.0,0.0
1,1001,1500,19,36,0.0,0.0,0.0
2,1001,1500,19,36,0.0,0.0,0.0
3,1001,1500,19,36,0.0,0.0,0.0
1,1501,2000,19,36,0.0,0.0,0.0
2,1501,2000,19,36,0.0,0.0,0.0
3,1501,2000,19,36,0.0,0.0,0.0
1,0,500,37,54,0.0,0.0,0.0
2,0,500,37,54,0.0,0.0,0.0
3,0,500,37,54,0.0,0.0,0.0
1,501,1000,37,54,0.0,0.0,0.0
2,501,1000,37,54,0.0,0.0,0.0
3,501,1000,37,54,0.0,0.0,0.0
1,1001,1500,37,54,0.0,0.0,0.0
2,1001,1500,37,54,0.0,0.0,0.0
3,1001,1500,37,54,0.0,0.0,0.0
1,1501,2000,37,54,0.0,0.0,0.0
2,1501,2000,37,54,0.0,0.0,0.0
3,1501,2000,37,54,0.0,0.0,0.0
