pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,9,0.0,0.0,0.0
2,0,500,0,9,-1.16,1.0,-1.82
3,0,500,0,9,-1.4000000000000001,-1.2800000000000002,2.92
1,501,1000,0,9,0.0,0.0,0.0
2,501,1000,0,9,-1.7600000000000002,2.9,0.0
3,501,1000,0,9,4.96,-0.44000000000000006,7.9
1,1001,1500,0,9,0.0,0.0,0.0
2,1001,1500,0,9,0.0,0.0,0.0
3,1001,1500,0,9,0.0,0.0,0.0
1,1501,2000,0,9,0.0,0.0,0.0
2,1501,2000,0,9,0.0,0.0,0.0
3,1501,2000,0,9,0.0,0.0,0.0
1,0,500,10,18,-0.44000000000000006,-2.0,-0.9800000000000001
2,0,500,10,18,-2.24,-1.22,-2.6
3,0,500,10,18,1.36,1.3,-0.4399999999999997
1,501,1000,10,18,-1.82,8.42,0.0
2,501,1000,10,18,5.8,3.2199999999999998,7.5
3,501,1000,10,18,4.6,5.02,2.2600000000000002
1,1001,1500,10,18,0.0,0.0,0.0
2,1001,1500,10,18,0.0,0.0,0.0
3,1001,1500,10,18,0.0,0.0,0.0
1,1501,2000,10,18,0.0,0.0,0.0
2,1501,2000,10,18,0.0,0.0,0.0
3,1501,2000,10,18,0.0,0.0,0.0
1,0,500,19,27,-2.0,-2.0,-2.72
2,0,500,19,27,-4.34,-1.4600000000000002,-4.640000000000001
3,0,500,19,27,-5.9,-5.84,-5.78
1,501,1000,19,27,-2.0,7.460000000000001,13.54
2,501,1000,19,27,9.280000000000001,8.44,9.52
3,501,1000,19,27,-4.94,-5.0600000000000005,-1.42
1,1001,1500,19,27,0.0,0.0,0.0
2,1001,1500,19,27,-1.4600000000000002,0.43999999999999995,0.0
3,1001,1500,19,27,0.0,0.0,0.0
1,1501,2000,19,27,0.0,0.0,0.0
2,1501,2000,19,27,0.0,0.0,0.0
3,1501,2000,19,27,0.0,0.0,0.0
1,0,500,28,36,0.0,0.0,0.0
2,0,500,28,36,0.0,1.06,0.0
3,0,500,28,36,0.0,0.0,0.0
1,501,1000,28,36,4.72,12.4,12.02
2,501,1000,28,36,7.6,7.76,11.06
3,501,1000,28,36,-3.9800000000000004,0.28,-3.92
1,1001,1500,28,36,5.86,11.440000000000001,0.0
2,1001,1500,28,36,-1.4600000000000002,0.0,0.0
3,1001,1500,28,36,0.0,0.0,0.0
1,1501,2000,28,36,0.0,0.0,0.0
2,1501,2000,28,36,0.0,0.0,0.0
3,1501,2000,28,36,0.0,0.0,0.0
1,0,500,37,45,0.0,0.0,0.0
2,0,500,37,45,0.0,0.0,0.0
3,0,500,37,45,0.0,0.0,0.0
1,501,1000,37,45,0.8800000000000001,0.0,11.600000000000001
2,501,1000,37,45,-2.0,7.58,8.98
3,501,1000,37,45,-1.4000000000000001,0.36,0.0
1,1001,1500,37,45,8.56,11.38,10.0
2,1001,1500,37,45,-1.52,-0.4,2.92
3,1001,1500,37,45,0.0,0.0,0.0
1,1501,2000,37,45,0.38,6.5200000000000005,0.0
2,1501,2000,37,45,0.0,0.0,0.0
3,1501,2000,37,45,0.0,0.0,0.0
1,0,500,46,54,0.0,0.0,0.0
2,0,500,46,54,0.0,0.0,0.0
3,0,500,46,54,0.0,0.0,0.0
1,501,1000,46,54,0.0,0.0,0.0
2,501,1000,46,54,0.0,0.0,0.0
3,501,1000,46,54,0.0,0.0,0.0
1,1001,1500,46,54,8.66,10.6,0.0
2,1001,1500,46,54,0.0,0.0,0.0
3,1001,1500,46,54,0.0,0.0,0.0
1,1501,2000,46,54,0.9199999999999999,8.74,6.220000000000001
2,1501,2000,46,54,0.0,0.0,0.0
3,1501,2000,46,54,0.0,0.0,0.0
