pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,9,19.95730929312822,-15.514852713093667,-8.504163997473906
2,0,500,0,9,10.932308281298432,19.30011224779315,-18.9965352147127
3,0,500,0,9,27.263019451175886,-14.237070407983538,-14.087235280758833
1,501,1000,0,9,0.0,0.0,0.0
2,501,1000,0,9,1.7967710395884122,7.076004673370828,10.156952324126308
3,501,1000,0,9,-5.653651480738503,-1.6028033223259284,16.37603174838329
1,1001,1500,0,9,0.0,0.0,0.0
2,1001,1500,0,9,0.0,0.0,0.0
3,1001,1500,0,9,0.0,0.0,0.0
1,1501,2000,0,9,0.0,0.0,0.0
2,1501,2000,0,9,0.0,0.0,0.0
3,1501,2000,0,9,0.0,0.0,0.0
1,0,500,10,18,19.964648935812956,-10.313133002503525,-9.45301173561351
2,0,500,10,18,-12.786062399356965,-13.767579691807144,-19.374755900720388
3,0,500,10,18,-13.535306527006968,-13.98122637544851,-16.658168018998957
1,501,1000,10,18,13.01478478649172,24.00830090823763,0.0
2,501,1000,10,18,-11.029209679039493,-0.9901568183589824,13.591293873962012
3,501,1000,10,18,-14.120487253130005,-15.00372228133008,-18.16207758004036
1,1001,1500,10,18,0.0,0.0,0.0
2,1001,1500,10,18,0.0,0.0,0.0
3,1001,1500,10,18,0.0,0.0,0.0
1,1501,2000,10,18,0.0,0.0,0.0
2,1501,2000,10,18,0.0,0.0,0.0
3,1501,2000,10,18,0.0,0.0,0.0
1,0,500,19,27,17.947703065561946,-5.957031250000061,-10.0
2,0,500,19,27,-12.685452478899624,-14.1732459440279,-14.722794495772508
3,0,500,19,27,-12.644554429833622,-14.458302273487277,-15.371325801384877
1,501,1000,19,27,0.40500916242032137,24.58678272611347,12.339291676252426
2,501,1000,19,27,-11.346724677960706,-2.416010075340071,6.874449068326449
3,501,1000,19,27,-16.501503791483426,-13.384837796751487,-16.022573788734277
1,1001,1500,19,27,14.999999999991353,0.0,0.0
2,1001,1500,19,27,-6.618292760121857,0.0,0.0
3,1001,1500,19,27,0.0,0.0,0.0
1,1501,2000,19,27,0.0,0.0,0.0
2,1501,2000,19,27,0.0,0.0,0.0
3,1501,2000,19,27,0.0,0.0,0.0
1,0,500,28,36,0.0,0.0,0.0
2,0,500,28,36,0.0,0.0,0.0
3,0,500,28,36,0.0,0.0,0.0
1,501,1000,28,36,-3.5979846133938844,15.976815909526449,8.841836661037043
2,501,1000,28,36,-10.958060592184658,-4.0142029718777135,9.823080283105913
3,501,1000,28,36,-10.98522259858133,-10.328963395240939,-4.892415005738337
1,1001,1500,28,36,-1.1429469116526096,7.897435459387412,0.0
2,1001,1500,28,36,0.0,0.0,0.0
3,1001,1500,28,36,0.0,0.0,0.0
1,1501,2000,28,36,0.0,0.0,0.0
2,1501,2000,28,36,0.0,0.0,0.0
3,1501,2000,28,36,0.0,0.0,0.0
1,0,500,37,45,0.0,0.0,0.0
2,0,500,37,45,-6.126807970543304,0.0,0.0
3,0,500,37,45,0.0,0.0,0.0
1,501,1000,37,45,-4.313919145765441,5.0,0.0
2,501,1000,37,45,-6.769952325083921,-6.833538798656817,7.161740683460041
3,501,1000,37,45,-6.329576457189567,0.0,0.0
1,1001,1500,37,45,-10.523245408915724,14.295592980515988,6.826782158516402
2,1001,1500,37,45,0.0,0.0,0.0
3,1001,1500,37,45,0.0,0.0,0.0
1,1501,2000,37,45,0.0,0.0,0.0
2,1501,2000,37,45,0.0,0.0,0.0
3,1501,2000,37,45,0.0,0.0,0.0
1,0,500,46,54,0.0,0.0,0.0
2,0,500,46,54,0.0,0.0,0.0
3,0,500,46,54,0.0,0.0,0.0
1,501,1000,46,54,0.0,0.0,0.0
2,501,1000,46,54,0.0,0.0,0.0
3,501,1000,46,54,0.0,0.0,0.0
1,1001,1500,46,54,-10.0,13.609760408500506,7.758712683014459
2,1001,1500,46,54,0.0,0.0,0.0
3,1001,1500,46,54,0.0,0.0,0.0
1,1501,2000,46,54,0.0,0.0,0.0
2,1501,2000,46,54,0.0,0.0,0.0
3,1501,2000,46,54,0.0,0.0,0.0
