pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,9,0.0,0.0,0.0
2,0,500,0,9,-1.82,-0.62,0.0
3,0,500,0,9,1.24,2.26,2.8
1,501,1000,0,9,0.0,0.0,0.0
2,501,1000,0,9,-1.7600000000000002,0.0,0.0
3,501,1000,0,9,-1.58,-0.44000000000000006,0.0
1,1001,1500,0,9,0.0,0.0,0.0
2,1001,1500,0,9,0.0,0.0,0.0
3,1001,1500,0,9,0.0,0.0,0.0
1,1501,2000,0,9,0.0,0.0,0.0
2,1501,2000,0,9,0.0,0.0,0.0
3,1501,2000,0,9,0.0,0.0,0.0
1,0,500,10,18,-1.4600000000000002,-1.8800000000000001,-1.82
2,0,500,10,18,0.1399999999999999,-3.2600000000000002,-2.84
3,0,500,10,18,-2.42,-2.3000000000000003,-2.06
1,501,1000,10,18,-1.82,4.640000000000001,0.0
2,501,1000,10,18,5.68,1.46,8.16
3,501,1000,10,18,-4.220000000000001,-0.29999999999999993,-4.76
1,1001,1500,10,18,0.0,0.0,0.0
2,1001,1500,10,18,0.0,0.0,0.0
3,1001,1500,10,18,0.0,0.0,0.0
1,1501,2000,10,18,0.0,0.0,0.0
2,1501,2000,10,18,0.0,0.0,0.0
3,1501,2000,10,18,0.0,0.0,0.0
1,0,500,19,27,-2.0,-2.0,-1.4000000000000001
2,0,500,19,27,-1.8800000000000001,-2.24,-2.0
3,0,500,19,27,-1.52,1.8800000000000001,-1.1
1,501,1000,19,27,-2.0,7.460000000000001,8.6
2,501,1000,19,27,7.48,7.3,10.96
3,501,1000,19,27,-3.3200000000000003,-4.04,-3.68
1,1001,1500,19,27,0.0,0.0,0.0
2,1001,1500,19,27,0.0,0.0,0.0
3,1001,1500,19,27,0.0,0.0,0.0
1,1501,2000,19,27,0.0,0.0,0.0
2,1501,2000,19,27,0.0,0.0,0.0
3,1501,2000,19,27,0.0,0.0,0.0
1,0,500,28,36,0.0,0.0,0.0
2,0,500,28,36,0.0,0.0,0.0
3,0,500,28,36,0.0,0.0,0.0
1,501,1000,28,36,4.72,4.300000000000001,10.219999999999999
2,501,1000,28,36,5.26,-1.0,8.92
3,501,1000,28,36,-0.62,0.33999999999999986,-1.04
1,1001,1500,28,36,-1.0,4.36,0.0
2,1001,1500,28,36,-1.52,0.0,0.0
3,1001,1500,28,36,0.0,0.0,0.0
1,1501,2000,28,36,0.0,0.0,0.0
2,1501,2000,28,36,0.0,0.0,0.0
3,1501,2000,28,36,0.0,0.0,0.0
1,0,500,37,45,0.0,0.0,0.0
2,0,500,37,45,0.0,0.0,0.0
3,0,500,37,45,0.0,0.0,0.0
1,501,1000,37,45,0.8800000000000001,0.0,3.02
2,501,1000,37,45,-2.0,-0.76,2.8
3,501,1000,37,45,0.0,0.0,0.0
1,1001,1500,37,45,-0.040000000000000036,9.58,0.0
2,1001,1500,37,45,-1.52,0.0,0.0
3,1001,1500,37,45,0.0,0.0,0.0
1,1501,2000,37,45,0.38,1.4800000000000002,0.0
2,1501,2000,37,45,0.0,0.0,0.0
3,1501,2000,37,45,0.0,0.0,0.0
1,0,500,46,54,0.0,0.0,0.0
2,0,500,46,54,0.0,0.0,0.0
3,0,500,46,54,0.0,0.0,0.0
1,501,1000,46,54,0.0,0.0,0.0
2,501,1000,46,54,0.0,0.0,0.0
3,501,1000,46,54,0.0,0.0,0.0
1,1001,1500,46,54,-2.0,9.7,0.0
2,1001,1500,46,54,0.0,0.0,0.0
3,1001,1500,46,54,0.0,0.0,0.0
1,1501,2000,46,54,0.9199999999999999,4.180000000000001,0.0
2,1501,2000,46,54,0.0,0.0,0.0
3,1501,2000,46,54,0.0,0.0,0.0
