pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,9,9.35333006603899,6.16753152123562,-13.024045726851497
2,0,500,0,9,11.413119129174687,19.979579955794122,2.5786512904772865
3,0,500,0,9,-13.297260083369963,25.369377533063787,4.494881391810328
1,501,1000,0,9,0.0,0.0,0.0
2,501,1000,0,9,-10.0,0.0,0.0
3,501,1000,0,9,-7.870578139242886,-8.875017321110944,-7.258357117101424
1,1001,1500,0,9,0.0,0.0,0.0
2,1001,1500,0,9,0.0,0.0,0.0
3,1001,1500,0,9,0.0,0.0,0.0
1,1501,2000,0,9,0.0,0.0,0.0
2,1501,2000,0,9,0.0,0.0,0.0
3,1501,2000,0,9,0.0,0.0,0.0
1,0,500,10,18,17.6006263351091,-10.394764597564082,-7.457410173895129
2,0,500,10,18,-13.68454032090996,-16.401038424472034,-22.75622438846512
3,0,500,10,18,-18.21933136676874,-16.696542495179038,-19.500521163292348
1,501,1000,10,18,9.939950994595463,0.0,29.96110382658927
2,501,1000,10,18,-12.150956240379806,-6.870128472251162,-0.12308313574660223
3,501,1000,10,18,-13.60920677306473,-14.59896251205081,-15.294164589101634
1,1001,1500,10,18,0.0,0.0,0.0
2,1001,1500,10,18,0.0,0.0,0.0
3,1001,1500,10,18,0.0,0.0,0.0
1,1501,2000,10,18,0.0,0.0,0.0
2,1501,2000,10,18,0.0,0.0,0.0
3,1501,2000,10,18,0.0,0.0,0.0
1,0,500,19,27,15.22302296136168,-7.198556392316128,-7.788693782192843
2,0,500,19,27,-10.0,-7.6885637931713156,-11.466836737437468
3,0,500,19,27,-9.396833248938151,-9.620279223657207,6.013192113987559
1,501,1000,19,27,10.63278847692561,17.277564367302944,31.346244650123424
2,501,1000,19,27,-9.6697598891096,-12.475721671357263,-4.965758600462233
3,501,1000,19,27,3.8847146810971127,-20.008961551739674,-19.204214242518933
1,1001,1500,19,27,0.0,0.0,0.0
2,1001,1500,19,27,0.0,0.0,0.0
3,1001,1500,19,27,0.0,0.0,0.0
1,1501,2000,19,27,0.0,0.0,0.0
2,1501,2000,19,27,0.0,0.0,0.0
3,1501,2000,19,27,0.0,0.0,0.0
1,0,500,28,36,0.0,0.0,0.0
2,0,500,28,36,0.0,0.0,0.0
3,0,500,28,36,0.0,0.0,0.0
1,501,1000,28,36,-5.152217852956395,19.519824342291216,5.0
2,501,1000,28,36,-10.0,0.0,4.800661329998949
3,501,1000,28,36,-12.576745854837045,-9.482799344293365,-17.500303861857745
1,1001,1500,28,36,-10.0,7.587126042752404,0.0
2,1001,1500,28,36,-6.712721210592862,0.0,0.0
3,1001,1500,28,36,0.0,0.0,0.0
1,1501,2000,28,36,0.0,0.0,0.0
2,1501,2000,28,36,0.0,0.0,0.0
3,1501,2000,28,36,0.0,0.0,0.0
1,0,500,37,45,0.0,0.0,0.0
2,0,500,37,45,0.0,0.0,0.0
3,0,500,37,45,0.0,0.0,0.0
1,501,1000,37,45,-5.717054987370163,17.50716064360045,0.0
2,501,1000,37,45,-5.319807691926991,-3.1548180108933215,7.1999574214620665
3,501,1000,37,45,0.0,0.0,0.0
1,1001,1500,37,45,-7.412147771149288,13.170633711230767,10.841743295963308
2,1001,1500,37,45,0.0,0.0,0.0
3,1001,1500,37,45,0.0,0.0,0.0
1,1501,2000,37,45,0.0,0.0,0.0
2,1501,2000,37,45,0.0,0.0,0.0
3,1501,2000,37,45,0.0,0.0,0.0
1,0,500,46,54,0.0,0.0,0.0
2,0,500,46,54,0.0,0.0,0.0
3,0,500,46,54,0.0,0.0,0.0
1,501,1000,46,54,0.0,0.0,0.0
2,501,1000,46,54,0.0,0.0,0.0
3,501,1000,46,54,0.0,0.0,0.0
1,1001,1500,46,54,-4.588681444543862,13.158397171802175,3.301620028058026
2,1001,1500,46,54,0.0,0.0,0.0
3,1001,1500,46,54,0.0,0.0,0.0
1,1501,2000,46,54,0.0,0.0,0.0
2,1501,2000,46,54,0.0,0.0,0.0
3,1501,2000,46,54,0.0,0.0,0.0
