epoch,pod,latency,requests,action,new_latency,new_requests,reward,q_value,random
0,2,476,20,3,502,14,-20,-2.0,True
1,3,502,14,1,672,28,-20,-2.0,False
2,1,672,28,1,725,24,-20,-2.0,True
3,1,725,24,2,447,12,20,2.0,False
4,2,447,12,1,730,24,-20,-1.8800000000000001,True
5,1,730,24,2,578,18,10,2.8,False
6,2,578,18,1,723,24,-20,-1.8800000000000001,False
7,1,723,24,2,469,14,20,3.8,False
8,2,469,14,2,208,4,10,1.0,True
9,2,208,4,2,541,16,-20,-1.1,False
10,2,541,16,2,374,10,20,2.0,False
11,2,374,10,3,376,10,0,0.0,False
12,3,376,10,1,694,24,-20,-1.82,False
13,1,694,24,2,345,12,20,4.7,False
14,2,345,12,3,405,16,0,0.0,False
15,3,405,16,2,528,22,-20,-2.0,False
16,2,528,22,1,684,26,-20,-1.7600000000000002,False
17,1,684,26,2,542,16,10,4.72,False
18,2,542,16,2,384,14,20,3.8,False
19,2,384,14,1,723,36,-20,-1.7600000000000002,True
20,1,723,36,2,536,20,10,4.6,False
21,2,536,20,2,525,16,-10,-0.82,False
22,2,525,16,2,574,18,-20,0.8800000000000001,False
23,2,574,18,2,641,20,-20,-2.0,False
24,2,641,20,3,271,6,20,2.0,False
25,3,271,6,3,455,10,10,1.0,False
26,3,455,10,3,447,12,10,1.96,False
27,3,447,12,3,414,14,10,1.96,False
28,3,414,14,3,363,8,10,1.96,False
29,3,363,8,3,319,4,10,1.96,False
30,3,319,4,3,276,6,10,1.96,False
31,3,276,6,3,208,2,10,1.96,False
32,3,208,2,3,378,10,10,1.96,False
33,3,378,10,1,728,24,-20,-0.8600000000000002,True
34,1,728,24,2,456,10,20,5.6,False
35,2,456,10,3,332,8,-20,-1.94,False
36,3,332,8,3,291,10,10,1.96,False
37,3,291,10,3,448,12,10,1.96,False
38,3,448,12,3,313,8,10,1.96,False
39,3,313,8,3,368,10,10,1.96,False
40,3,368,10,3,362,8,10,1.96,False
41,3,362,8,3,0,0,10,1.96,False
42,3,0,0,3,416,14,10,1.96,False
43,3,416,14,3,384,14,10,1.96,False
44,3,384,14,3,208,4,10,1.96,False
45,3,208,4,3,311,8,10,1.96,False
46,3,311,8,3,277,6,10,1.96,False
47,3,277,6,3,445,16,10,1.96,False
48,3,445,16,3,345,12,10,1.96,False
49,3,345,12,3,372,10,10,1.96,False
50,3,372,10,3,208,4,10,1.96,False
51,3,208,4,3,310,12,10,1.96,False
52,3,310,12,3,288,10,10,1.96,False
53,3,288,10,3,383,14,10,1.96,False
54,3,383,14,3,209,4,10,1.96,False
55,3,209,4,3,455,10,10,1.96,False
56,3,455,10,1,724,24,-20,-0.8000000000000002,True
57,1,724,24,2,456,10,20,6.4399999999999995,False
58,2,456,10,2,440,16,10,0.040000000000000036,False
59,2,440,16,2,400,12,10,1.0,False
60,2,400,12,2,483,18,10,1.96,False
61,2,483,18,2,355,14,10,1.96,False
62,2,355,14,2,528,16,-20,-1.1,False
63,2,528,16,3,472,14,20,2.06,False
64,3,472,14,3,290,10,10,1.96,False
65,3,290,10,3,332,10,10,1.96,False
66,3,332,10,3,278,6,10,1.96,False
67,3,278,6,3,629,10,-20,-1.1,True
68,3,629,10,2,417,12,20,1.94,False
69,2,417,12,2,532,14,-20,-2.7800000000000002,False
70,2,532,14,3,345,12,20,3.8,False
71,3,345,12,1,761,26,-20,-1.64,False
72,1,761,26,2,446,20,20,7.4,False
73,2,446,20,1,720,36,-20,-1.58,False
74,1,720,36,2,311,20,20,8.3,False
75,2,311,20,2,594,16,-20,-1.82,False
76,2,594,16,3,413,12,20,4.640000000000001,False
77,3,413,12,3,281,6,10,0.040000000000000036,False
78,3,281,6,3,469,14,10,1.0,True
79,3,469,14,3,352,10,10,1.96,False
80,3,352,10,3,276,6,10,1.96,False
81,3,276,6,1,722,24,-20,-0.62,True
82,1,722,24,2,374,10,20,9.14,False
83,2,374,10,1,720,24,-20,-2.3600000000000003,False
84,1,720,24,2,276,6,20,10.04,False
85,2,276,6,3,335,8,0,-0.8400000000000001,False
86,3,335,8,3,312,8,10,1.96,False
87,3,312,8,3,311,8,10,1.96,False
88,3,311,8,3,442,14,10,1.96,False
89,3,442,14,3,372,10,10,1.96,False
90,3,372,10,3,415,6,10,1.96,False
91,3,415,6,3,270,6,10,1.96,False
92,3,270,6,3,388,16,10,1.96,False
93,3,388,16,3,437,18,10,1.96,False
94,3,437,18,3,372,10,10,1.96,False
95,3,372,10,3,515,16,-20,-1.04,False
96,3,515,16,2,362,8,20,2.9,False
97,2,362,8,3,208,4,-20,-2.0,False
98,3,208,4,1,743,32,-20,-1.4000000000000001,False
99,1,743,32,2,465,20,20,10.94,False
