pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,18,1.96,-0.92,-0.7399999999999999
2,0,500,0,18,-1.4,-1.4600000000000002,-1.94
3,0,500,0,18,-3.74,-4.34,-3.8
1,501,1000,0,18,0.0,0.0,0.0
2,501,1000,0,18,1.84,-2.0,6.38
3,501,1000,0,18,-3.8,-4.28,-3.92
1,1001,1500,0,18,0.0,0.0,0.0
2,1001,1500,0,18,0.0,0.0,0.0
3,1001,1500,0,18,0.0,0.0,0.0
1,1501,2000,0,18,0.0,0.0,0.0
2,1501,2000,0,18,0.0,0.0,0.0
3,1501,2000,0,18,0.0,0.0,0.0
1,0,500,19,36,0.0,0.0,0.0
2,0,500,19,36,-2.72,-3.14,-3.62
3,0,500,19,36,-1.94,0.0,-2.0
1,501,1000,19,36,-2.0,10.36,0.0
2,501,1000,19,36,-1.7600000000000002,5.68,6.18
3,501,1000,19,36,-4.58,-4.220000000000001,0.020000000000000018
1,1001,1500,19,36,-2.0,4.0,0.0
2,1001,1500,19,36,-1.7000000000000002,-0.4,0.0
3,1001,1500,19,36,0.0,0.0,0.0
1,1501,2000,19,36,0.0,0.0,0.0
2,1501,2000,19,36,0.0,0.0,0.0
3,1501,2000,19,36,0.0,0.0,0.0
1,0,500,37,54,0.0,0.0,0.0
2,0,500,37,54,0.0,0.0,0.0
3,0,500,37,54,0.0,0.0,0.0
1,501,1000,37,54,0.0,0.0,0.0
2,501,1000,37,54,0.0,0.0,0.0
3,501,1000,37,54,0.0,0.0,0.0
1,1001,1500,37,54,-1.0,6.94,0.0
2,1001,1500,37,54,-1.64,0.0,0.0
3,1001,1500,37,54,0.0,0.0,0.0
1,1501,2000,37,54,-0.6400000000000001,3.2800000000000002,0.0
2,1501,2000,37,54,0.0,0.0,0.0
3,1501,2000,37,54,0.0,0.0,0.0
